account,name,link,bio
@ThWuebbena@fedihum.org,Thorsten Wübbena,https://fedihum.org/@ThWuebbena,"Head of DH at Leibniz-Institute of European History (Mainz, Germany). Digital (Art) History, Research Infrastructures, Open Research Data"
@wragge@hcommons.social,Tim Sherratt,https://hcommons.social/@wragge,"Historian and hacker. My main project at the moment is the GLAM Workbench ­– developing tools & resources to help people work with digital collections from libraries, archives, and museums."
@soilandreyes@scholar.social,Stian Soiland-Reyes,https://scholar.social/@soilandreyes,"Open Scholarly communication, reproducivility, data repositories, metadata, provenance,  Linked Data. Co-chair of RO-Crate community. Research Fellow in Computer Science at The University of Manchester, UK."
@bmp@mastodon.sdf.org,Bharath M. Palavalli,https://mastodon.sdf.org/@bmp,I develop tools and methods to allow stakeholders to collaboratively create public policy
@garyhall@hcommons.social,Gary Hall,https://hcommons.social/@garyhall,"Professor of Media at Coventry University, UKDirector of the Centre for Postdigital Cultures:http://www.coventry.ac.uk/research/areas-of-research/postdigital-cultureshttps://postdigitalcultures.org/about/Director of Open Humanities Press: http://www.openhumanitiespress.org"
@_siddharthsoni@hcommons.social,Siddharth Soni,https://hcommons.social/@_siddharthsoni,"Research Fellow at Cambridge Digital Humanities, University of Cambridge"
@weblearning@social.ds106.us,Derek Moore,https://social.ds106.us/@weblearning,Professional / not an academic. Working in the third space to support digital humanities
@jonippolito@digipres.club,Jon Ippolito,https://digipres.club/@jonippolito,Professor of New Media and Director of the Digital Curation program at the University of Maine. Cofounder of the Variable Media Network and Learning With AI; former Guggenheim curator; co-author of books At the Edge of Art and Re-collection.
@seanfobbe@fediscience.org,Seán Fobbe,https://fediscience.org/@seanfobbe,"I'm a human rights lawyer, legal data scientist and Open Data advocate. I specialize in international law, cultural heritage, NLP, computational approaches to legal text, empirical legal studies and more recently causal inference and Bayesian statistics with Stan.All my publications, more than a dozen legal open access datasets and code are freely available available at: https://seanfobbe.com"
@arturoviaggia@zirk.us,Arthur Urbano,https://zirk.us/@arturoviaggia,
@PhKaufmannMR@climatejustice.social ,Philip Kaufmann,https://climatejustice.social /@PhKaufmannMR,Master student Cultural Data Studies @ Philipp-University Marburg (Germany) #MCDCI
@taoish@mastodonapp.uk,Mark Saltveit,https://mastodonapp.uk/@taoish,"Historian focused on multi-directional texts (such as palindromes, word squares and acrostics) in all cultures and eras. I present papers regularly at ICMS-Kalamazoo and IMC-Leeds."
@aiucd@fedihum.org,AIUCD - Associazione Italiana per l'Informatica Umanistica e la Cultura Digitale,https://fedihum.org/@aiucd,Italian Digital Humanities association
@SvenjaGuhr@fedihum.org,Svenja Guhr,https://fedihum.org/@SvenjaGuhr,"Research Associate at TU Darmstadt, Computational Literary Studies, Digital Humanities, DHd"
@EMGrumbach@hcommons.social,Liz Grumbach,https://hcommons.social/@EMGrumbach,"AltAc DH researcher at a public university doing things at the intersection of tech, ethics, and the humanities."
@arturoviaggia@zirk.us,Arthur Urbano,https://zirk.us/@arturoviaggia,Prof at PC
@clsinfra@fedihum.org,CLSinfra,https://fedihum.org/@clsinfra,Computational Literary Studies Infrastructure: building a shared and sustainable infrastructure for literary studies in the digital age. Funded by @HorizonEU
@ecf@mastodon.social,Erik Fredner,https://mastodon.social/@ecf,Computational literary studies of C19-20 US literatures. Currently at the University of Virginia; previously at Stanford Literary Lab.
@triproftri@hcommons.social,Kathy Harris,https://hcommons.social/@triproftri,"Professor, Literature & Digital Humanities @ San Jose State University. Director of Public Programming for the College of Humanities & the Arts. More available here: https://triproftri.wordpress.com/"
@jmotis@historians.social,Jessica Otis,https://historians.social/@jmotis,"Ass't Prof of History, Director of Public Projects at Roy Rosenzweig Center for History and New Media"
@jenniferisasi@hcommons.social,Jennifer Isasi,https://hcommons.social/@jenniferisasi,Digital Hispanic Studies 👩🏻‍💻 Director of the Digital Liberal Arts Research Initiative at PSU | Views my own | ES EN EU
@Carwil@mastodon.online,Carwil Bjork-James,https://mastodon.online/@Carwil,"Carwil Bjork-James is the author of The Sovereign Street: Making Revolution in Urban Bolivia. He conducts immersive and historical research on disruptive protest, environmental struggles, state violence, and indigenous collective rights. Since 2015, he has been the lead researcher of Ultimate Consequences, a database and digital archive describing over six hundred deaths in Bolivian political conflict from 1982 to the present."
@uk_ie_dh@hcommons.social,UK-Ireland Digital Humanities Association,https://hcommons.social/@uk_ie_dh,The regional association for DH in Ireland and the UK.
@AMP_OeAW@fedihum.org,Auden Musulin Papers,https://fedihum.org/@AMP_OeAW,A FWF project digitally editing W. H. Auden's 'working correspondence' with writer Stella Musulin. Based at @oeaw's @ACDH_OeAW. Edition pre-release v0.1.
@lucasrappo@mastodon.world,Lucas Rappo,https://mastodon.world/@lucasrappo,"Historian, PhD at the University of Lausanne on kinship in the 18th and 19th centuries. Working on the population of Lausanne in the 19th century at the EPFL. Interested in demography, social networks."
@broomgrass@c18.masto.host,Catherine Nygren,https://c18.masto.host/@broomgrass,"lecturer at Champlain Regional College; finishing a PhD at McGill, computational analysis of eighteenth century British travel writing"
@mesinatra@hcommons.social,Michael Sinatra,https://hcommons.social/@mesinatra,"Michael E. Sinatra is Professor of English at the Université de Montréal, and the founding director of the DH Center CRIHN. He's also the chair of ADHO Conference Coordinating Committee, and the co-chair of CenterNet. He works on critical editions, and issues of multilingualism."
@ramyologist@sciences.social,Ramy Youssef,https://sciences.social/@ramyologist,"historical/cultural/political sociologist. current research: sociology of imitation, text mining methods, semantics"
@vivalosburros@hachyderm.io,Jesse Sadler,https://hachyderm.io/@vivalosburros,Historian of early modern mercantile families interested in digital humanities and rstats
@CordeliaBeattie@historians.social,Cordelia Beattie,https://historians.social/@CordeliaBeattie,"PI on AHRC-funded project, Alice Thornton's Books, a digital scholarly edition of a 17thC woman's 4 manuscripts."
@kgeographer@mas.to,Karl Grossner,https://mas.to/@kgeographer,"Geographer & research developer. Technical Director, World Historical Gazetteer based @ University of Pittsburgh World History Center"
@sharonmleon@hcommons.social,Sharon Leon,https://hcommons.social/@sharonmleon,"Director, Omeka; VP, Digital Scholar; digital history"
@jesperjuul@mstdn.social,Jesper Juul,https://mstdn.social/@jesperjuul,"Video game researcher, author of Half-Real, Handmade Pixels. Working on Commodore 64 book."
@teamseaslug@hcommons.social,Sean Purcell,https://hcommons.social/@teamseaslug,"I am a PhD candidate at Indiana University's Media School. I also work as a Digital Methods Specialist at the Institute for Digital Arts and Humanities (IDAH). I used to be a filmmaker, and do arts based museum-like installations about medicine's past.My research is at the intersection of medical history, media studies, medical humanities, and digital humanities. My dissertation tracks the use of human specimens in tuberculosis research in America at the turn of the twentieth century, with care to consider how biomedical specimens, extracted from human subjects, were used in biomedical research remain in libraries, museums, and archives.#mediastudies #medicine #DH #artist"
@gvogeler@hcommons.social,Georg Vogeler,https://hcommons.social/@gvogeler,"#historian (#medieval, historical auxiliary sciences #AuxHist), prof. for digital humanities #DH at the great #ZIM (centre for information modelling) at University of #Graz, special interests in #digitalscholarlyediting and #semanticweb #linkedopendata"
@jackhistorynorton@mastodon.social,Jack Norton,https://mastodon.social/@jackhistorynorton,"Faculty in History, Normandale Community College.  Digital Humanities, Water and World History, SOTL. Pro-student, anti-fascist."
@jodageiger@fedihum.org,Jonathan D. Geiger,https://fedihum.org/@jodageiger,I am coming from information science and engineering as well as from philosophy. I work at the Academy of Sciences and Literature in Mainz (Germany) in the project NFDI4Culture and do also a lot of work for the philosophy of digitality and a digital-operating philosophy.
@lizrodrigues@hcommons.social,Liz Rodrigues,https://hcommons.social/@lizrodrigues,"Humanities & Digital Scholarship Librarian, Critical data & life writing studies"
@nabsiddiqui@h-net.social,Nabeel Siddiqui,https://h-net.social/@nabsiddiqui,Assistant Professor of Digital Media and Associate Director for the Center for Teaching and Learning at Susquehanna University
@proghist@hcommons.social,Programming Historian,https://hcommons.social/@proghist,We are a peer-reviewed journal that publishes tutorials to help humanities scholars learn digital tools.
@nabsiddiqui@h-net.social,Nabeel Siddiqui,https://h-net.social/@nabsiddiqui,Assistant Professor of Digital Media and Associate Director of Center for Teaching and Learning at Susquehanna University
@medievalist@writing.exchange,Lisa L. Spangenberg,https://writing.exchange/@medievalist,"Ph.D. in English, specializing in Medieval English and Celtic languages and literature. I worked at UCLA's Humanities Computing Facility coordinating faculty and student scholarly and instructional technology use, on ebooks and multimedia at The Voyager Company, and write for Peachpit."
@nullmuseum@hcommons.social,Nullmuseum,https://hcommons.social/@nullmuseum,Nullmuseum is a research project that examines the digital worlds around museums
@sourisnumerique@fedihum.org,Sarah Ondraszek,https://fedihum.org/@sourisnumerique,DH student at Trier University. Research assistant at Trier Center for Digital Humanities.
@justcodeculture@mastodon.social,Jeffrey Yost,https://mastodon.social/@justcodeculture,"Historian and Digital Historian who is Director of the Charles Babbage Institute a computing and culture research center, archives, and digital archives. Prof. of Hist. of Sci/Tech"
@mapto@qoto.org,Martin Ruskov ,https://qoto.org/@mapto,"Computational Humanities and Cultural Analytics researcher from University of Milan (La Statale). Worked in Technology-Enhanced Learning, Paleoslavistics, Network Analysis of Community Archives, Human Factors in Security, Serious Games. Interests in Service Design, Longitudinal Analytics and Explainable AI."
@cliotex@fedihum.org,Philipp Schneider,https://fedihum.org/@cliotex,"Research assistant and PhD student, working at Digital History Berlin with knowledeg graphs"
@kyropoulos@mastodon.social,Dionysios Kyropoulos,https://mastodon.social/@kyropoulos,Professor at Guildhall School of Music & Drama and DPhil Candidate at Oxford University
@scdh@fedihum.org,Service Center for Digital Humanities (SCDH),https://fedihum.org/@scdh,"The SCDH is located at ULB Münster, Germany, and supports humanities research with expertise in digital methods."
@janhorstmann@fedihum.org,Jan Horstmann,https://fedihum.org/@janhorstmann,Head of Service Center for Digital Humanities (SCDH) at the University of Münster. Formerly forTEXT project in Hamburg etc.
@gamingthepast@historians.social,Jeremiah McCall,https://historians.social/@gamingthepast,History teacher; historian; historical game studies; author of Gaming the Past
@dmaus@dmaus.name,David Maus,https://dmaus.name/@dmaus,"I work at the Carl von Ossietzky State and University Library Hamburg, the largest academic library in Hamburg and central lending library for the University of Hamburg and the city's other higher education institutions. I'm interested in Hypertext/Hypermedia, Information Architecture, Linked Open Data, Markup Languages, and XML Technologies."
@johentsch@hostux.social,Johannes Hentschel,https://hostux.social/@johentsch,"Musician, Music Theorist, Pedagogue, PhD Candidate in Computational Musicology @ Digital and Cognitive Musicology Lab @ École Polytechnique Fédérale de Lausanne (EPFL), Switzerland. Interested in Knowledge Graphs, LOD, etc."
@heatherfro@zirk.us,heather froehlich,https://zirk.us/@heatherfro,
@alizhorvathaliz@fedihum.org,Alíz Horváth ,https://fedihum.org/@alizhorvathaliz,"Assistant Professor in East Asian History (Japan, China, Korea) and DH at Eötvös Loránd University, PhD in East Asian Languages and Civilizations (University of Chicago)Core Editorial Team Member: OpenMethods (DARIAH-EU)Contributor: New Languages for NLP (Princeton, DARIAH, Haverford, NEH-funded)Editorial Board Member: Asia Pacific Perspectives Avid advocate for multilingual DH"
@GrandjeanMartin@mathstodon.xyz,Martin Grandjean,https://mathstodon.xyz/@GrandjeanMartin,"Junior Lecturer in Digital History at the University of Lausanne and EPFL, Switzerland"
@kerithomas@toot.wales,Dr Keri Thomas,https://toot.wales/@kerithomas,Independent researcher in the digitisation of medieval manuscripts.
@AriK@archaeo.social,Arienne King,https://archaeo.social/@AriK,History writer - AskHistorians and World History Encyclopedia
@jrglmn@mastodon.social,Jörg Lehmann,https://mastodon.social/@jrglmn,"Digital humanities project coordinator at Eberhard Karls Universität Tübingen, Germany; Research foci: social network analysis, drama analysis, digitization of cultural magazines"
@DigitCurator@digipres.club ,UMaine Digital Curation,https://digipres.club /@DigitCurator,"We are faculty at the University of Maine who teach in an online, graduate certificate intended for folks working in museums, archives, labs, studios, government offices, and anywhere that people need to manage digital files."
@kanarinka@mastodon.mit.edu,Catherine D'Ignazio,https://mastodon.mit.edu/@kanarinka,Assoc Prof of Urban Science at MIT
@gerbenzaagsma@mastodon.green,Gerben Zaagsma,https://mastodon.green/@gerbenzaagsma,"Assistant Professor at the Centre for Contemporary and Digital History (C²DH) at the University of Luxembourg. My main research and teaching interests are modern Jewish history, digital history, and music history. Especially interested in the politics of heritage digitisation and how it affects historical research. Writing a history of digital history."
@catherineomega@mastodon.social,Catherine Winters,https://mastodon.social/@catherineomega,"I'm a developer at a virtual reality and digital humanities lab at the University of British Columbia. I've worked as a full-stack web developer, game designer, and--once upon a time--co-authored Second Life: The Official Guide."
@John@mastodon.cc,John Muccigrosso,https://mastodon.cc/@John,"Classicist. Owner of Temples of the Classical World, a database of, uh, temples of the classical world. #lawdi coPI"
@ewg118@hcommons.social,Ethan Gruber,https://hcommons.social/@ewg118,"Interested in classical archaeology, 3d visualization, linked open data, #OpenAccess, #LODLAM, cycling"
@nfitzger@glammr.us,Neil Fitzgerald,https://glammr.us/@nfitzger,Head of Digital Research @britishlibrary @BL_DigiSchol | EC member @iiif_io | @impactocr | @ai4lam | opinions my own.
@RainerMuehlhoff@chaos.social,"Rainer Mühlhoff, Prof. ",https://chaos.social/@RainerMuehlhoff,Philosopher & Mathematician. Professor of Ethics of Artificial Intelligence at University of Osnabrück.
@leahcb@hcommons.social,Leah Budke,https://hcommons.social/@leahcb,"Information Specialist Research - Digital Scholarship in the Humanities at KU Leuven Libraries Artes (in Belgium). PhD in Literary Studies, bibliophile, feminist, perpetual learner. Animal lover. Maker of things."
@paolomonella@scholar.social,Paolo Monella,https://scholar.social/@paolomonella,"Researcher (RTDA) at Sapienza University of Rome in Latin and Digital Humanities and DH responsible for the PAGES Project; AIUCD Board member; IT coordinator at UAN. Formerly: UCLA, lecturer; Lincei Academy, post-doc; University of Palermo, lecturer in DH; ALIM, DH curator; VeDPH at Ca' Foscari, visiting scholar in DH. Research focus: digital scholarly editions. Editions: Urus Beneventanus, ""De nomine"" (2016); Romualdus Salernitanus, ""Chronicon"" (2020); Priscian's Ars, books 11-13 (ongoing). He published a book on digital methods in classical teaching (2020).  Home page: http://www.paolomonella.it"
@kmapesy@hcommons.social,Kristen Mapes,https://hcommons.social/@kmapesy,"Asst Director of Digital Humanities, Michigan State University"
@jamessmithies@hachyderm.io,James Smithies,https://hachyderm.io/@jamessmithies,"Professor of Digital Humanities, King's College London"
@uwuttke@fedihum.org,Ulrike Wuttke,https://fedihum.org/@uwuttke,"University of Applied Sciences Potsdam, DHd, Digital Humanities, Open Science, Library and Information Science, RDM, Fedihum"
@mvzaanen@mas.to,Menno van Zaanen,https://mas.to/@mvzaanen,
@codiceps@fedihum.org,Melanie Althage,https://fedihum.org/@codiceps,"I'm a PhD student in Digital History at the Humboldt-Universität zu Berlin. My research interests include the applicability of text and data mining methods for historical research, born-digital data & (historical) tool/method criticism."
@NanetteRissler@fedihum.org,Nanette Rissler-Pipka,https://fedihum.org/@NanetteRissler,"Literary Scholar, Expert in French and Spanish Literature, Digital Methods and Research Infrastructure, Dr. phil. and Habilitation in Romance Philology"
@p_junginger@fedihum.org,Pauline Junginger,https://fedihum.org/@p_junginger,"I‘m a PhD student and research assistant at Philipps-Universität Marburg, where I work in the BMBF Research group „Aesthetics of Access“ (DAVIF) (https://uni-marburg.de/Q85oo). My background is in media studies, feminist theory, and #digitalhumanities. I‘m super interested in #digitalhistory, feminist film historiography, #LinkedOpenData, category systems, and #STS."
@menyalas@fedihum.org,Alayne Moody,https://fedihum.org/@menyalas,"PhD Candidate examining well-being in life writing using the DH methodology (topic modelling, sentiment analysis, social network analysis, Bayesian linear regression)."
@bengrosser@mastodon.social,Ben Grosser,https://mastodon.social/@bengrosser,"artist and scholar focused on the cultural, social, and political effects of software"
@thea@hcommons.social,Thea Lindquist,https://hcommons.social/@thea,early modern and data everything. sometimes hockey. @cuboulder. views my own.
@benwbrum@hcommons.social,Ben Brumfield,https://hcommons.social/@benwbrum,"Software developer, digital humanist, THATCamp organizer.  Creating and researching crowdsourced manuscript transcription projects since 2005."
@fmadore@hcommons.social,Frédérick Madore,https://hcommons.social/@fmadore,Historian and research fellow at Leibniz-Zentrum Moderner Orient (ZMO)
@archaeoklammt@mastodon.top,Anne Klammt,https://mastodon.top/@archaeoklammt,
@c18ah@hcommons.social,Alexander Huber,https://hcommons.social/@c18ah,Digital humanist · Research: poetry (very long #c18th)
@nkelber@sigmoid.social,Nathan Kelber,https://sigmoid.social/@nkelber,Non-profit PhD working for social justice and open educational resources in Data Science & the Digital Humanities. http://nkelber.com
@umblaetterer@chaos.social,Frank Fischer,https://chaos.social/@umblaetterer,Professor of Digital Humanities at Freie Universität Berlin
@samplereality@post.lurk.org,Mark Sample,https://post.lurk.org/@samplereality,"Teaches and researches digital culture, code studies, electronic literature, video games, contemporary literature. Also makes weird things for the internet."
@gumarten@mastodon.social,Gunther Martens,https://mastodon.social/@gumarten,"German Literary Studies & GhentCDH, Belgium"
@hcayless@hcommons.social,Hugh Cayless,https://hcommons.social/@hcayless,Grumpy old DHer.
@EvelynGius@fedihum.org,Evelyn Gius,https://fedihum.org/@EvelynGius,"Professor for Digital Philology (TU Darmstadt), editor JCLS, PI of CATMA. Interested in Computational Literary Studies; Annotation; Narrative Theory; Events, Plots, Conflict"
@vickstar79@mastodonapp.uk,Vicky Garnett,https://mastodonapp.uk/@vickstar79,"DARIAH-EU Training and Education Officer, based at Trinity Centre for Digital Humanities in Trinity College Dublin"
@j_mieczni@101010.pl,Johanna Miecznikowski,https://101010.pl/@j_mieczni,"Linguist, specialization in Romance, interested in talk-in-interaction and corpus pragmatics. I teach at USI Università della Svizzera italiana, Switzerland."
@merc3@chaos.social,Christian Vater,https://chaos.social/@merc3,"Akademie der Wissenschaften und der Literatur | Mainz. Technikphilosoph. Denkende Maschinen und die Wechselwirkung zwischen Medien, Denken und Gesellschaft. Und das Imaginäre."
@marind@qoto.org,Marin Dacos,https://qoto.org/@marind,"Founder of OpenEdition, now National coordinator for open science (France)"
@emchateau@mamot.fr,Emmanuel Chateau-Dutier,https://mamot.fr/@emchateau,"Associate professor in Digital Museology at Université de Montréal. Histoire de l'architecture, Muséologie numérique, Humanités numériques #digitalArtHistory #dah #dh #muzeonum #architecture #museTech #xml #websem"
@scrivenersjest@dreamers-guild.net,Geoff Gimse,https://dreamers-guild.net/@scrivenersjest,"I am a researcher, developer, and technical systems expert whose work has centered on the digital humanities, sociotechnical histories of computing, and technology and publics. I have a PhD in Technical Communication from the University of Wisconsin - Milwaukee and currently work as a research and reporting specialist for the Institute for Community Alliances."
@markcmarino@mastodon.social,Mark C. Marino,https://mastodon.social/@markcmarino,"Prof. of Writing, USC, Critical Code Studies, Electronic Literature"
@kiru@openbiblio.social,Péter Király,https://openbiblio.social/@kiru,"Software developer and researcher at GWDG (Göttingen, Germany) editor of Code4Lib Journal. My research topic quality assessment of cultural heritage metadata. I am also involved in book history research. Topics: metadata quality, cultural heritage metadata, history, archives. Technologies: data science, big data, Java, R, PHP, Spark, Solr etc."
@dr_pda@hcommons.social,Philip Allfrey,https://hcommons.social/@dr_pda,"Heraldist by night, web developer by day. Lapsed particle physicist. Occasional palaeographer. Accidental digital humanist. Working towards biography and digital scholarly edition of early 17th century heraldic writer John Guillim"
@PassableGhost@hcommons.social,John Edward Martin,https://hcommons.social/@PassableGhost,"Director of Scholarly Communication at the University of North Texas Libraries. Interested in #scholcom, #digitalhumanities, #comicsstudies, #horror, #libraries, #altacademia"
@PaulLev@mastodon.social,Paul Levinson,https://mastodon.social/@PaulLev,"Paul Levinson, PhD, is Professor of Communication & Media Studies at Fordham University in NYC.  His science fiction novels include The Silk Code (winner of the Locus Award for Best First Science Fiction Novel of 1999), The Consciousness Plague, The Pixel Eye, Borrowed Tides,  The Plot to Save Socrates, Unburning Alexandria, and Chronica.. His award-nominated novelette, “The Chronology Protection Case,” was made into a short film and is on Amazon Prime Video. His nonfiction books, including The Soft Edge, Digital McLuhan, Realspace, Cellphone, McLuhan in an Age of Social Media, and Fake News in Real Context have been translated into 15 languages. He appears on CBS News, CNN, MSNBC, Fox News, the Discovery Channel, National Geographic, the History Channel, and NPR.  His 1972 album, Twice Upon A Rhyme, was re-issued in  Japan and Korea in 2008, and in the U. K. in 2010.  His first new album since 1972, Welcome Up: Songs of Space and Time, was released on  Old Bear Records and Light in the Attic Records in 2020."
@dh_potsdam@hcommons.social,Digital Humanities Network at the Universitiy of Potsdam,https://hcommons.social/@dh_potsdam,"DH research and DH education at the University of Potsdam. Computational literary studies, network analysis, drama corpora, CLS infrastructure"
@cosima_wagner@openbiblio.social ,Cosima Wagner,https://openbiblio.social /@cosima_wagner,Research Librarian | East Asian Studies | Digital Humanities | Research Data Management | Research Infrastructures & Non-latin scripts | STS&Robotics in Japan
@jerielizabeth@hcommons.social,Jeri Wieringa,https://hcommons.social/@jerielizabeth,"Data + AI/ML + Digital History + NRMs. Assistant Professor, Religious Studies @UofAlabama. @chnm alum. Parent of twins."
@sramsay@hcommons.social,Stephen Ramsay,https://hcommons.social/@sramsay,Associate Professor of English at the University of Nebraska-Lincoln
@Kita_jin@scholar.social,Thomas Grønvoll,https://scholar.social/@Kita_jin,"Game studies scholar, currently working with videogames as artistic and cultural expressions in regards to young audiences."
@jason_m_kelly@fediscience.org,Jason M. Kelly,https://fediscience.org/@jason_m_kelly,Jason M. Kelly is Director of the IUPUI Arts and Humanities Institute and Chair and Professor of History in the Indiana University School of Liberal Arts at IUPUI. He is also an Adjunct Professor of Africana Studies and American Studies.
@thist@mstdn.social,Tobias Hodel,https://mstdn.social/@thist,"Assistant Professor of Digital Humanities at the University of Bern. Dealing with machine learning, data modeling and pre-modern culture. www.dh.unibe.ch"
@aarbrk@mstdn.mx,Aaron Brick,https://mstdn.mx/@aarbrk,"Historian / computer scientist deeply interested in the imaging, transcription, and publication of archival manuscripts."
@fuzzyleapfrog@chaos.social,Claudia Frick ,https://chaos.social/@fuzzyleapfrog,"Professorin für Informationsdienstleistungen und Wissenschaftskommunikation, Bibliothekarin, und Meteorologin. Ich forsche dazu wie Wissenschaft kommuniziert."
@mlvp71@FediScience.org,Margo (Lecompte) Van Poucke ,https://FediScience.org/@mlvp71,"Linguist and Sessional Unit Convenor @TheUniversityofSydney and @MacquarieUniversity, digital humanities, SFL, CDS, appraisal theory"
@andreskarjus@mastodon.social,Andres Karjus,https://mastodon.social/@andreskarjus,"I am a computational linguist operating at the intersection of cultural data analytics,  language sciences and digital humanities, working with large language, media, and art corpora and conducting experiments inspired by cognitive science."
